16:31:01  Opening log file '211107-163101 CATfix v1.0 log.txt'

CATfix options file: catfix.ini

            com_in=11
            com_in_baud=115200
            com_out=2
            com_out_baud=115200

            start_minimized=0
            enable_log=1

            reset_AI=1
            set_lock=0

16:31:01  Opening input port: COM11
16:31:01  Opening output port: COM2
MODEL: ?  TYPE: K 00.  FIRMWARE VERSION: 1.04.

16:31:27  EXTERNAL MODE via COM11
---------------------------------------------------------

16:31:27 SESSION STARTED

16:31:27 ************** DATE: Sun.07 Nov 2021
16:31:28       0.42   > ;
16:31:28       0.42   > ;
16:31:28       0.43   > ;
16:31:28       0.44   > TC 1;
16:31:28       0.45   > ;
16:31:28       0.45   > ;
16:31:28       0.46   > ;
16:31:28       0.46   > ID;
16:31:28       0.47   > ;
16:31:28       0.47   > ;
16:31:28       0.48   > ID;
16:31:28       0.49   > ;
16:31:28       0.49   > ;
16:31:28       0.50   > ;
16:31:28       0.51   > TC 1;
16:31:28       0.51   > ;
16:31:28       0.52   > ;
16:31:28       0.52   > ;
16:31:28       0.53   > ID;
16:31:28       0.54   > ;
16:31:28       0.54   > ;
16:31:28       0.55   > ID;
16:31:28       0.55   > ;
16:31:28       0.55   > ;
16:31:28       0.56   > ;
16:31:28       0.57   > TC 1;
16:31:28       0.58   > ;
16:31:28       0.58   > ;
16:31:28       0.59   > ;
16:31:28       0.59   > ID;
16:31:28       0.60   > ;
16:31:28       0.60   > ;
16:31:28       0.61   > ID;
16:31:28       0.61   > ;
16:31:28       0.62   > ;
16:31:28       0.62   > ;
16:31:28       0.64   > TC 1;
16:31:28       0.64   > ;
16:31:28       0.65   > ;
16:31:28       0.65   > ;
16:31:28       0.66   > ID;
16:31:28       0.66   > ;
16:31:28       0.67   > ;
16:31:28       0.68   > ID;
16:31:28       0.68   > ;
16:31:28       0.68   > ;
16:31:28       0.69   > ;
16:31:28       0.71   > TC 1;
16:31:28       0.71   > ;
16:31:28       0.71   > ;
16:31:28       0.72   > ;
16:31:28       0.73   > ID;
16:31:28       0.73   > ;
16:31:28       0.73   > ;
16:31:28       0.74   > ID;
16:31:28       0.75   > ;
16:31:28       0.75   > ;
16:31:28       0.76   > ;
16:31:28       0.78   > TC 1;
16:31:28       0.78   > ;
16:31:28       0.78   > ;
16:31:28       0.79   > ;
16:31:28       0.80   > ID;
16:31:28       0.80   > ;
16:31:28       0.80   > ;
16:31:28       0.81   > ID;
16:31:28       0.82   > ;
16:31:28       0.82   > ;
16:31:28       0.83   > ;
16:31:28       0.84   > TC 1;
16:31:28       0.85   > ;
16:31:28       0.85   > ;
16:31:28       0.86   > ;
16:31:28       0.87   > ID;
16:31:28       0.87   > ;
16:31:28       0.88   > ;
16:31:28       0.89   > ID;
16:31:28       0.89   > ;
16:31:28       0.90   > ;
16:31:28       0.90   > ;
16:31:28       0.91   > TC 1;
16:31:28       0.92   > ;
16:31:28       0.92   > ;
16:31:28       0.93   > ;
16:31:28       1.01   < ?;
16:31:28       1.01   < ?;
16:31:28       1.01   < ?;
16:31:28       1.01   < ?;
16:31:28       1.01   < ?;
16:31:28       1.01   < ?;
16:31:28       1.02   < ?;
16:31:28       1.02   < ID023;
16:31:28       1.02   < ?;
16:31:28       1.02   < ?;
16:31:28       1.02   < ID023;
16:31:28       1.02   < ?;
16:31:28       1.02   < ?;
16:31:28       1.02   < ?;
16:31:28       1.03   < ?;
16:31:28       1.03   < ?;
16:31:28       1.03   < ?;
16:31:28       1.03   < ?;
16:31:28       1.03   < ID023;
16:31:28       1.03   < ?;
16:31:28       1.03   < ?;
16:31:28       1.04   < ID023;
16:31:28       1.04   < ?;
16:31:28       1.04   < ?;
16:31:28       1.04   < ?;
16:31:28       1.05   < ?;
16:31:28       1.05   < ?;
16:31:28       1.05   < ?;
16:31:28       1.05   < ?;
16:31:28       1.05   < ID023;
16:31:28       1.05   < ?;
16:31:28       1.05   < ?;
16:31:28       1.05   < ID023;
16:31:28       1.06   < ?;
16:31:28       1.06   < ?;
16:31:28       1.06   < ?;
16:31:28       1.06   < ?;
16:31:28       1.07   < ?;
16:31:28       1.07   < ?;
16:31:28       1.07   < ?;
16:31:28       1.07   < ID023;
16:31:28       1.07   < ?;
16:31:28       1.07   < ?;
16:31:28       1.07   < ID023;
16:31:28       1.08   < ?;
16:31:28       1.08   < ?;
16:31:28       1.08   < ?;
16:31:28       1.09   < ?;
16:31:28       1.09   < ?;
16:31:28       1.09   < ?;
16:31:28       1.09   < ?;
16:31:28       1.09   < ID023;
16:31:28       1.09   < ?;
16:31:28       1.10   < ?;
16:31:28       1.10   < ID023;
16:31:28       1.10   < ?;
16:31:28       1.10   < ?;
16:31:28       1.10   < ?;
16:31:28       1.11   < ?;
16:31:28       1.11   < ?;
16:31:29       1.11   < ?;
16:31:29       1.11   < ?;
16:31:29       1.12   < ?;
16:31:29       1.12   < ?;
16:31:29       1.12   < ID023;
16:31:29       1.12   < ?;
16:31:29       1.12   < ?;
16:31:29       1.12   < ID023;
16:31:29       1.12   < ?;
16:31:29       1.12   < ?;
16:31:29       1.13   < ?;
16:31:29       1.13   < ?;
16:31:29       1.13   < ?;
16:31:29       1.13   < ?;
16:31:29       1.14   < ?;
16:31:29       1.14   < ID023;
16:31:29       1.14   < ?;
16:31:29       1.14   < ?;
16:31:29       1.14   < ID023;
16:31:29       1.14   < ?;
16:31:29       1.24   < ?;
16:31:29       1.24   < ?;
16:31:29       1.24   < ?;
16:31:29       1.25   < ?;
16:31:29       1.25   < ?;
16:31:29       1.25   < ?;
16:31:29       1.33   > ID;
16:31:29       1.33   > ;
16:31:29       1.34   > ;
16:31:29       1.44   < PS1;
16:31:29       1.45   < AI0;
16:31:29       1.45   < ID023;
16:31:29       1.47   < ?;
16:31:29       1.47   < ?;
16:31:29       1.54   > AI;
16:31:29       1.55   > FV;
16:31:29       1.56   > AI2;
16:31:29       1.67   < AI0;
16:31:29       1.68   < FV1.04;
16:31:29       1.76   > AI2;
16:31:29       1.77   > MF;
16:31:29       1.87   < MF0;
16:31:29       1.97   > EX0140000;
16:31:29       1.99   > EX0160000;
16:31:29       2.02   > EX0170000;
16:31:29       2.04   > EX0180000;
16:31:29       2.07   > EX0190000;
16:31:29       2.09   > EX0200000;
16:31:30       2.12   > EX0210000;
16:31:30       2.14   > EX0270000;
16:31:30       2.16   > EX0280000;
16:31:30       2.18   > EX0290000;
16:31:30       2.21   > EX0360000;
16:31:30       2.23   > EX0370000;
16:31:30       2.25   > EX0540000;
16:31:30       2.27   > EX0560000;
16:31:30       2.29   > EX0610000;
16:31:30       2.32   > EX0690000;
16:31:30       2.34   > EX0700000;
16:31:30       2.36   > EX0850000;
16:31:30       2.39   > EX0140000;
16:31:30       2.41   > EX0160000;
16:31:30       2.44   > EX0170000;
16:31:30       2.46   > EX0180000;
16:31:30       2.49   > EX0190000;
16:31:30       2.51   > EX0200000;
16:31:30       2.53   > EX0210000;
16:31:30       2.56   > EX0270000;
16:31:30       2.58   > EX0280000;
