16:28:13  Opening log file '211107-162813 CATfix v1.0 log.txt'

CATfix options file: catfix.ini

            com_in=11
            com_in_baud=115200
            com_out=2
            com_out_baud=115200

            start_minimized=0
            enable_log=1

            reset_AI=1
            set_lock=0

16:28:13  Opening input port: COM11
16:28:13  Opening output port: COM2
MODEL: ?  TYPE: K 00.  FIRMWARE VERSION: 1.04.

16:28:14  EXTERNAL MODE via COM11
---------------------------------------------------------

16:28:14 SESSION STARTED

16:28:14 ************** DATE: Sun.07 Nov 2021
16:28:15       0.69   < ?;
16:28:15       0.69   < ?;
16:28:15       0.92   < PS1;
16:28:15       1.01   < AI0;
16:28:16       1.62   < ?;
16:28:16       1.63   < ?;
16:28:16       1.92   < PS1;
16:28:16       2.02   < AI0;
16:28:17       2.62   < ?;
16:28:17       2.62   < ?;
16:28:17       3.03   < PS1;
16:28:17       3.04   < AI0;
16:28:18       3.64   < ?;
16:28:18       3.64   < ?;
16:28:18       3.93   < PS1;
16:28:18       4.00   < AI0;
16:28:19       4.61   < ?;
16:28:19       4.61   < ?;
16:28:19       5.01   < PS1;
16:28:19       5.03   < AI0;
16:28:20       5.64   < ?;
16:28:20       5.64   < ?;
16:28:20       5.92   < PS1;
16:28:20       6.00   < AI0;
16:28:21       6.61   < ?;
16:28:21       6.62   < ?;
16:28:21       7.02   < PS1;
16:28:21       7.03   < AI0;
16:28:22       7.64   < ?;
16:28:22       7.64   < ?;
16:28:22       8.04   < PS1;
16:28:22       8.05   < AI0;
16:28:23       8.66   < ?;
16:28:23       8.66   < ?;
16:28:23       9.07   < PS1;
16:28:23       9.08   < AI0;
16:28:24       9.68   < ?;
16:28:24       9.69   < ?;
16:28:24       9.97   < PS1;
16:28:24      10.05   < AI0;
16:28:25      10.66   < ?;
16:28:25      10.66   < ?;
16:28:25      11.07   < PS1;
16:28:25      11.07   < AI0;
16:28:26      11.68   < ?;
16:28:26      11.68   < ?;
16:28:26      11.96   < PS1;
16:28:26      12.04   < AI0;
16:28:27      12.66   < ?;
16:28:27      12.67   < ?;
16:28:27      13.06   < PS1;
16:28:27      13.08   < AI0;
16:28:28      13.69   < ?;
16:28:28      13.69   < ?;
16:28:28      13.95   < PS1;
16:28:28      14.03   < AI0;
16:28:29      14.64   < ?;
16:28:29      14.64   < ?;
16:28:29      15.04   < PS1;
16:28:29      15.05   < AI0;
16:28:29      15.05   < ?;
16:28:29      15.05   < ?;
16:28:30      15.29   < ?;
16:28:30      15.30   < ?;
16:28:30      15.30   < ?;
16:28:30      15.30   < ?;
16:28:30      15.30   < ?;
16:28:30      15.70   < ID023;
16:28:30      15.72   < ?;
16:28:30      15.72   < ?;
16:28:30      15.79   < ?;
16:28:30      15.79   < ?;
16:28:30      15.99   < PS1;
16:28:30      16.06   < AI2;
16:28:30      16.12   < AI2;
16:28:30      16.12   < FV1.04;
16:28:31      16.22   < MF0;
16:28:31      16.22   < EX01400001;
16:28:31      16.22   < EX01600005;
16:28:31      16.22   < EX01700002;
16:28:31      16.22   < EX018000001;
16:28:31      16.23   < EX019000003;
16:28:31      16.23   < EX02000000;
16:28:31      16.23   < EX02100001;
16:28:31      16.23   < EX02700000;
16:28:31      16.23   < EX02800000;
16:28:31      16.24   < EX02900000;
16:28:31      16.24   < EX03600000;
16:28:31      16.24   < EX03700000;
16:28:31      16.24   < EX05400000;
16:28:31      16.24   < EX05600000;
16:28:31      16.25   < EX06100001;
16:28:31      16.25   < EX06900001;
16:28:31      16.29   < EX07000001;
16:28:31      16.29   < EX08500001;
16:28:31      16.30   < EX01400001;
16:28:31      16.30   < EX01600005;
16:28:31      16.30   < EX01700002;
16:28:31      16.30   < EX018000001;
16:28:31      16.30   < EX019000003;
16:28:31      16.30   < EX02000000;
16:28:31      16.30   < EX02100001;
16:28:31      16.30   < EX02700000;
16:28:31      16.37   < EX02800000;
16:28:31      16.38   < EX02900000;
16:28:31      16.38   < EX03600000;
16:28:31      16.38   < EX03700000;
16:28:31      16.38   < EX05400000;
16:28:31      16.39   < EX05600000;
16:28:31      16.39   < EX06100001;
16:28:31      16.39   < EX06900001;
16:28:31      16.39   < EX07000001;
16:28:31      16.39   < EX08500001;
16:28:31      16.39   < TS0;
16:28:31      16.40   < FR1;
16:28:31      16.40   < MD2;
16:28:31      16.45   < IF00024915000      000000051021000080;
16:28:31      16.45   < XI000249150002100;
16:28:31      16.45   < RI000249150002100;
16:28:31      16.52   < XI000249150002100;
16:28:31      16.52   < RI000249150002100;
16:28:31      16.52   < XI000249150002100;
16:28:31      16.61   < SL00;
16:28:31      16.61   < SH10;
16:28:31      16.61   < GC1;
16:28:31      16.68   < SL00;
16:28:31      16.68   < SH10;
16:28:31      16.69   < GC1;
16:28:31      16.69   < ?;
16:28:31      16.69   < ?;
16:28:31      16.69   < RI000249150002100;
16:28:31      16.76   < SL00;
16:28:31      16.76   < SH10;
16:28:31      16.76   < GC1;
16:28:31      16.76   < DA1;
16:28:31      16.76   < SC00;
16:28:31      16.84   < RI000249150002100;
16:28:31      16.84   < XI000249150002100;
16:28:31      16.84   < CT0;
16:28:31      16.85   < TO0;
16:28:31      16.85   < AC010;
16:28:31      16.85   < AG0000;
16:28:31      16.85   < AN200;
16:28:31      16.85   < BC0;
16:28:31      16.86   < BP020;
16:28:31      16.86   < BY10;
16:28:31      16.86   < CR0;
16:28:31      16.86   < CT0;
16:28:31      16.86   < FA00024915000;
16:28:31      16.86   < FB00024915000;
16:28:31      16.86   < FL1;
16:28:31      16.87   < FS1;
16:28:31      16.87   < FT1;
16:28:31      16.87   < GC1;
16:28:31      16.87   < IF00024915000      000000051021000080;
16:28:31      16.87   < SL00;
16:28:31      16.87   < SH10;
16:28:31      16.88   < GC1;
16:28:31      16.91   < SH10;
16:28:31      16.91   < SL00;
16:28:31      16.91   < XI000249150002100;
16:28:31      16.99   < KS024;
16:28:31      16.99   < LK00;
16:28:31      16.99   < LM00000;
16:28:31      16.99   < MC 51;
16:28:31      16.99   < ME000;
16:28:31      17.00   < MG017;
16:28:31      17.00   < MR0 0000000000000000000000000000000000000;
16:28:31      17.00   < MR1 0000000000000000000000000000000000000;
16:28:31      17.00   < NB2;
16:28:31      17.00   < NR0;
16:28:31      17.00   < NT00;
16:28:31      17.00   < PA10;
16:28:31      17.01   < PB0000;
16:28:31      17.01   < PC005;
16:28:31      17.01   < PR0;
16:28:31      17.01   < QR00;
16:28:31      17.02   < RA0000;
16:28:31      17.02   < RG255;
16:28:31      17.02   < RM10000;
16:28:31      17.02   < RM20000;
16:28:31      17.02   < RM30000;
16:28:31      17.02   < RS0;
16:28:31      17.02   < RT0;
16:28:31      17.03   < PS1;
16:28:31      17.03   < XI000249150002100;
16:28:31      17.03   < RI000249150002100;
16:28:31      17.07   < MR0 5100021074000210080800000000000000000;
16:28:31      17.08   < MR1 5100028074000210080800000000000000000;
16:28:31      17.08   < AI2;
16:28:31      17.08   < SH10;
16:28:31      17.08   < SL00;
16:28:31      17.08   < SM00000;
